Sample	Stimulation	Cell_line	Diff_start	Iso	Eve_sample	Genotype	RIN	Addl_seq	Genewiz_ID	Cell_line_Diff_start	PCT_MRNA_BASES	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_PF_READS_ALIGNED	summed_mean	PERCENT_DUPLICATION	total_reads	uniquely_mapped_percent	ADAR	ADARB1	APOBEC3H	APOBEC3G	APOBEC3C	APOBEC3F	APOBEC3B
24-SDD00479	LPS	H7	20200928	Iso_1	e24	hom	10	Y	SDD00479	H7_20200928	94.2223	1.3792	3.4178	0.9807	0.943338	550.532982	0.28965	32812803	91.36	4.517431271680085	2.435366204227864	1.0543120297715298	1.9685099809725544	3.554776469590456	0.9858167945227652	1.541159071680806
25-SDD00480	Basal	H7	20200930	Iso_1	e25	hom	10	Y	SDD00480	H7_20200930	93.2159	1.5298	4.2099	1.0443	0.93596	531.74143	0.264539	31047148	90.47	4.165889729385197	1.843719208158766	1.410986973710262	1.75958057086382	3.864092471670596	0.8544153281560676	1.673351238177753
26-SDD00481	IFNg	H7	20200930	Iso_1	e26	hom	10	N	SDD00481	H7_20200930	93.2998	1.2964	4.2826	1.1212	0.940427	517.580568	0.292812	33050627	91	4.8927522534395385	1.3454723665996355	1.4327007339340465	3.8372994592322094	4.335328031664641	2.194999882314108	0.7839015438284094
27-SDD00482	LPS	H7	20200930	Iso_2	e27	hom	10	N	SDD00482	H7_20200930	93.0951	1.2906	4.5583	1.056	0.942224	494.921267	0.305823	43506830	91.26	4.789988622980633	2.770711962226921	1.1346227261911428	2.180417459019838	3.427514689979529	0.8586616190375187	1.6114359150967734
3-SDD00458	LPS	WT	20200926	Iso_1	e3	wt	10	N	SDD00458	WT_20200926	93.5967	0.7358	4.4474	1.2201	0.946136	517.809848	0.298195	42128148	91.14	4.443709519861466	2.050270164379556	0.8020015854720274	1.6505798557652755	3.538347219809389	0.6931471805599453	1.99061032797322
4-SDD00459	Basal	WT	20200928	Iso_2	e4	wt	10	Y	SDD00459	WT_20200928	93.2468	0.9806	4.6215	1.1511	0.946564	521.937841	0.263238	33071971	91.48	4.301629697601852	1.62924053973028	1.3056264580524355	1.8547342683894432	3.883829271057364	0.8837675401685949	1.752672080520008
5-SDD00460	IFNg	WT	20200928	Iso_1	e5	wt	10	Y	SDD00460	WT_20200928	94.6596	0.9718	3.3048	1.0638	0.943066	536.227591	0.268579	31485437	91.23	4.840479434201172	1.43746264769429	1.383791230901772	3.897112392692392	4.37449836825309	2.166765369851511	0.5822156198526637
6-SDD00461	LPS	WT	20200928	Iso_2	e6	wt	9.9	Y	SDD00461	WT_20200928	93.0421	0.9067	4.9566	1.0946	0.945122	507.806561	0.259382	29593502	91.51	4.817212344231128	2.917770732084279	0.5596157879354227	1.8484548129046003	3.449987545831587	0.6097655716208943	1.8594181177018696
7-SDD00462	Basal	WT	20200930	Iso_1	e7	wt	10	Y	SDD00462	WT_20200930	92.2668	1.1456	5.4483	1.1393	0.942444	490.374398	0.257863	27814710	91.03	4.195998215948601	1.8468787684491343	1.244154593958768	2.0541237336955462	3.766765992771007	1.0612565021243408	2.0438143640366846
8-SDD00463	IFNg	WT	20200930	Iso_1	e8	wt	10	N	SDD00463	WT_20200930	94.6791	0.9469	3.4637	0.9104	0.941127	571.218191	0.321014	40013913	91.16	4.715995741076976	0.959350221334602	1.4609379041156565	3.952588967174808	4.288127958229824	2.080690761080268	0.7227059828014898
9-SDD00464	LPS	WT	20200930	Iso_2	e9	wt	10	N	SDD00464	WT_20200930	93.4869	0.9003	4.5274	1.0854	0.94151	525.51652	0.295825	36087659	91.05	4.460837815098172	2.131796772013764	1.0612565021243408	1.801709800081223	3.586015818654697	1.0331844833456545	1.780024213009634
