Sample_Number	Sample_name	Cell_line	Diff_start	Treatment	Iso	Eve_sample	Genotype	RIN	Addl_seq	Genewiz_ID	Cell_line_Diff_start	Trimmomatic_mqc_generalstats_trimmomatic_dropped_pct	Picard_mqc_generalstats_picard_PCT_MRNA_BASES	Picard_mqc_generalstats_picard_PCT_RIBOSOMAL_BASES	Picard_mqc_generalstats_picard_PCT_INTRONIC_BASES	Picard_mqc_generalstats_picard_PCT_INTERGENIC_BASES	Picard_mqc_generalstats_picard_PCT_PF_READS_ALIGNED	Picard_mqc_generalstats_picard_summed_median	Picard_mqc_generalstats_picard_summed_mean	Picard_mqc_generalstats_picard_PERCENT_DUPLICATION	STAR_mqc_generalstats_star_total_reads	STAR_mqc_generalstats_star_uniquely_mapped	STAR_mqc_generalstats_star_uniquely_mapped_percent	featureCounts_mqc_generalstats_featurecounts_Assigned
24	Sample_24	H7	20200928	LPS	1	e24	hom	10	Y	SDD00479	H7_20200928	0.69	94.2223	1.3792	3.4178	0.9807	0.943338	256	550.532982	0.28965	32812803	29978745	91.36	15136590
25	Sample_25	H7	20200930	basal	1	e25	hom	10	Y	SDD00480	H7_20200930	0.93	93.21589999999999	1.5298	4.209899999999999	1.0443	0.93596	252	531.74143	0.264539	31047148	28087410	90.47	14319256
26	Sample_26	H7	20200930	IFNg	1	e26	hom	10	N	SDD00481	H7_20200930	0.62	93.2998	1.2964	4.2826	1.1212	0.940427	246	517.580568	0.292812	33050627	30075567	91	15272702
27	Sample_27	H7	20200930	LPS	2	e27	hom	10	N	SDD00482	H7_20200930	0.75	93.0951	1.2906	4.5583	1.056	0.942224	243	494.921267	0.305823	43506830	39704571	91.26	20082027
3	Sample_3	WT	20200926	LPS	1	e3	wt	10	N	SDD00458	WT_20200926	0.88	93.5967	0.7358	4.4474	1.2201	0.946136	248	517.809848	0.298195	42128148	38396600	91.14	19238598
4	Sample_4	WT	20200928	basal	2	e4	wt	10	Y	SDD00459	WT_20200928	1.14	93.2468	0.9806	4.6215	1.1511	0.946564	249	521.937841	0.263238	33071971	30255464	91.48	15400214
5	Sample_5	WT	20200928	IFNg	1	e5	wt	10	Y	SDD00460	WT_20200928	1.84	94.6596	0.9717999999999999	3.3048	1.0638	0.943066	249	536.227591	0.268579	31485437	28724132	91.23	14414382
6	Sample_6	WT	20200928	LPS	2	e6	wt	9.9	Y	SDD00461	WT_20200928	1.08	93.0421	0.9067000000000001	4.9566	1.0946	0.945122	246	507.806561	0.259382	29593502	27080158	91.51	13985435
7	Sample_7	WT	20200930	basal	1	e7	wt	10	Y	SDD00462	WT_20200930	1.55	92.2668	1.1456	5.4483	1.1393	0.942444	242	490.374398	0.257863	27814710	25318920	91.03	13031622
8	Sample_8	WT	20200930	IFNg	1	e8	wt	10	N	SDD00463	WT_20200930	2.22	94.6791	0.9469	3.4637000000000002	0.9103999999999999	0.941127	259	571.218191	0.321014	40013913	36477792	91.16	18122008
9	Sample_9	WT	20200930	LPS	2	e9	wt	10	N	SDD00464	WT_20200930	0.96	93.48689999999999	0.9003000000000001	4.5274	1.0854000000000001	0.94151	250	525.51652	0.295825	36087659	32857144	91.05	16646202
