gene	sample	TPM
ADAR	MCI-7-Basal	76.05
ADAR	MCI-7-IFNb	160.01
ADAR	MCI-7-LPS	67.52
ADAR	MCI-8-Basal	130.53
ADAR	MCI-8-IFNb	165.34
ADAR	MCI-8-LPS	126.19
ADAR	MCI-9-Basal	19.87
ADAR	MCI-9-IFNb	67.54
ADAR	MCI-9-LPS	48.49
ADAR	PD-1-Basal	15.4
ADAR	PD-1-IFNb	44.46
ADAR	PD-1-LPS	16.04
ADAR	PD-10-Basal	34.7
ADAR	PD-10-IFNb	96.56
ADAR	PD-10-LPS	50
ADAR	PD-11-Basal	63.2
ADAR	PD-11-IFNb	185.65
ADAR	PD-11-LPS	34.14
ADAR	PD-2-Basal	106.12
ADAR	PD-2-IFNb	272.14
ADAR	PD-2-LPS	127.89
ADAR	PD-3-Basal	113.12
ADAR	PD-3-IFNb	281.71
ADAR	PD-3-LPS	160.95
ADAR	PD-4-Basal	87.84
ADAR	PD-4-IFNb	321.68
ADAR	PD-4-LPS	59.84
ADAR	PD-5-Basal	91.35
ADAR	PD-5-IFNb	289.14
ADAR	PD-5-LPS	137.57
ADAR	PD-6-Basal	108.86
ADAR	PD-6-IFNb	352.57
ADAR	PD-6-LPS	241.32
ADAR	PD-7-Basal	77.27
ADAR	PD-7-IFNb	178.55
ADAR	PD-7-LPS	116.1
ADAR	PD-8-Basal	76.79
ADAR	PD-8-IFNb	150.88
ADAR	PD-8-LPS	82.97
ADAR	PD-9-Basal	14.78
ADAR	PD-9-IFNb	67.34
ADAR	PD-9-LPS	32.86
ADAR	YC-1-Basal	14.43
ADAR	YC-1-IFNb	38.98
ADAR	YC-1-LPS	13.68
ADAR	YC-10-Basal	28.61
ADAR	YC-10-IFNb	95.98
ADAR	YC-10-LPS	40.73
ADAR	YC-11-Basal	52.48
ADAR	YC-11-IFNb	110.14
ADAR	YC-11-LPS	52.88
ADAR	YC-2-Basal	71.31
ADAR	YC-2-IFNb	257.52
ADAR	YC-2-LPS	54.05
ADAR	YC-3-Basal	84.26
ADAR	YC-3-IFNb	212.47
ADAR	YC-3-LPS	125.57
ADAR	YC-4-Basal	207.6
ADAR	YC-4-IFNb	317.48
ADAR	YC-4-LPS	189.22
ADAR	YC-5-Basal	189.61
ADAR	YC-5-IFNb	284.88
ADAR	YC-5-LPS	149.68
ADAR	YC-6-Basal	177.52
ADAR	YC-6-IFNb	251.89
ADAR	YC-6-LPS	175.37
ADAR	YC-7-Basal	133.08
ADAR	YC-7-IFNb	221.16
ADAR	YC-7-LPS	119.02
ADAR	YC-8-Basal	46.51
ADAR	YC-8-IFNb	177.21
ADAR	YC-8-LPS	87.1
ADAR	YC-9-Basal	40.04
ADAR	YC-9-IFNb	76.13
ADAR	YC-9-LPS	47.54
APOBEC4	AD-1-Basal	0
APOBEC4	AD-1-IFNb	0
APOBEC4	AD-1-LPS	0
APOBEC4	AD-10-Basal	0
APOBEC4	AD-10-IFNb	0
APOBEC4	AD-10-LPS	0
APOBEC4	AD-11-Basal	0
APOBEC4	AD-11-IFNb	0
APOBEC4	AD-11-LPS	0.67
APOBEC4	AD-2-Basal	0
APOBEC4	AD-2-IFNb	0
APOBEC4	AD-2-LPS	0
APOBEC4	AD-3-Basal	0
APOBEC4	AD-3-IFNb	0
APOBEC4	AD-3-LPS	0
APOBEC4	AD-4-Basal	0
APOBEC4	AD-4-IFNb	0
APOBEC4	AD-4-LPS	0
APOBEC4	AD-5-Basal	0
APOBEC4	AD-5-IFNb	0
APOBEC4	AD-5-LPS	0
APOBEC4	AD-6-Basal	0
APOBEC4	AD-6-IFNb	0
APOBEC4	AD-6-LPS	0
APOBEC4	AD-7-Basal	0
APOBEC4	AD-7-IFNb	0
APOBEC4	AD-7-LPS	0
APOBEC4	AD-8-Basal	0
APOBEC4	AD-8-IFNb	0
APOBEC4	AD-8-LPS	0
APOBEC4	AD-9-Basal	0
APOBEC4	AD-9-IFNb	0
APOBEC4	AD-9-LPS	0.05
APOBEC4	Control-1-Basal	0
APOBEC4	Control-1-IFNb	0
APOBEC4	Control-1-LPS	0
APOBEC4	Control-10-Basal	0.12
APOBEC4	Control-10-IFNb	0
APOBEC4	Control-10-LPS	0
APOBEC4	Control-11-Basal	0
APOBEC4	Control-11-IFNb	0
APOBEC4	Control-11-LPS	0.29
APOBEC4	Control-2-Basal	0
APOBEC4	Control-2-IFNb	0
APOBEC4	Control-2-LPS	0
APOBEC4	Control-3-Basal	0
APOBEC4	Control-3-IFNb	0
APOBEC4	Control-3-LPS	0
APOBEC4	Control-4-Basal	0
APOBEC4	Control-4-IFNb	0
APOBEC4	Control-4-LPS	0
APOBEC4	Control-5-Basal	0
APOBEC4	Control-5-IFNb	0
APOBEC4	Control-5-LPS	0
APOBEC4	Control-6-Basal	0
APOBEC4	Control-6-IFNb	0
APOBEC4	Control-6-LPS	0
APOBEC4	Control-7-Basal	0
APOBEC4	Control-7-IFNb	0
APOBEC4	Control-7-LPS	0
APOBEC4	Control-8-Basal	0
APOBEC4	Control-8-IFNb	0
APOBEC4	Control-8-LPS	0
APOBEC4	Control-9-Basal	0
APOBEC4	Control-9-IFNb	0
APOBEC4	Control-9-LPS	0
APOBEC4	MCI-1-Basal	0
APOBEC4	MCI-1-IFNb	0
APOBEC4	MCI-1-LPS	0
APOBEC4	MCI-10-Basal	0
APOBEC4	MCI-10-IFNb	0
APOBEC4	MCI-10-LPS	0
APOBEC4	MCI-11-Basal	0
APOBEC4	MCI-11-IFNb	0
APOBEC4	MCI-11-LPS	0
APOBEC4	MCI-2-Basal	0
APOBEC4	MCI-2-IFNb	0
APOBEC4	MCI-2-LPS	0
APOBEC4	MCI-3-Basal	0
APOBEC4	MCI-3-IFNb	0
APOBEC4	MCI-3-LPS	0
APOBEC4	MCI-4-Basal	0
APOBEC4	MCI-4-IFNb	0
APOBEC4	MCI-4-LPS	0
APOBEC4	MCI-5-Basal	0
APOBEC4	MCI-5-IFNb	0
APOBEC4	MCI-5-LPS	0
APOBEC4	MCI-6-Basal	0
APOBEC4	MCI-6-IFNb	0
APOBEC4	MCI-6-LPS	0
APOBEC4	MCI-7-Basal	0
APOBEC4	MCI-7-IFNb	0
APOBEC4	MCI-7-LPS	0
APOBEC4	MCI-8-Basal	0
APOBEC4	MCI-8-IFNb	0
APOBEC4	MCI-8-LPS	0
APOBEC4	MCI-9-Basal	0
APOBEC4	MCI-9-IFNb	0
APOBEC4	MCI-9-LPS	0
APOBEC4	PD-1-Basal	0
APOBEC4	PD-1-IFNb	0
APOBEC4	PD-1-LPS	0
APOBEC4	PD-10-Basal	0
APOBEC4	PD-10-IFNb	0
APOBEC4	PD-10-LPS	0
APOBEC4	PD-11-Basal	0
APOBEC4	PD-11-IFNb	0
APOBEC4	PD-11-LPS	0
APOBEC4	PD-2-Basal	0
APOBEC4	PD-2-IFNb	0
APOBEC4	PD-2-LPS	0
APOBEC4	PD-3-Basal	0
APOBEC4	PD-3-IFNb	0
APOBEC4	PD-3-LPS	0
APOBEC4	PD-4-Basal	0
APOBEC4	PD-4-IFNb	0
APOBEC4	PD-4-LPS	0
APOBEC4	PD-5-Basal	0
APOBEC4	PD-5-IFNb	0
APOBEC4	PD-5-LPS	0
APOBEC4	PD-6-Basal	0
APOBEC4	PD-6-IFNb	0
APOBEC4	PD-6-LPS	0
APOBEC4	PD-7-Basal	0
APOBEC4	PD-7-IFNb	0
APOBEC4	PD-7-LPS	0
APOBEC4	PD-8-Basal	0
APOBEC4	PD-8-IFNb	0
APOBEC4	PD-8-LPS	0
APOBEC4	PD-9-Basal	0
APOBEC4	PD-9-IFNb	0
APOBEC4	PD-9-LPS	0
APOBEC4	YC-1-Basal	0
APOBEC4	YC-1-IFNb	0
APOBEC4	YC-1-LPS	0
APOBEC4	YC-10-Basal	0
APOBEC4	YC-10-IFNb	0
APOBEC4	YC-10-LPS	0
APOBEC4	YC-11-Basal	0
APOBEC4	YC-11-IFNb	0.06
APOBEC4	YC-11-LPS	0
APOBEC4	YC-2-Basal	0
APOBEC4	YC-2-IFNb	0
APOBEC4	YC-2-LPS	0
APOBEC4	YC-3-Basal	0
APOBEC4	YC-3-IFNb	0
APOBEC4	YC-3-LPS	0
APOBEC4	YC-4-Basal	0
APOBEC4	YC-4-IFNb	0
APOBEC4	YC-4-LPS	0
APOBEC4	YC-5-Basal	0
APOBEC4	YC-5-IFNb	0
APOBEC4	YC-5-LPS	0
APOBEC4	YC-6-Basal	0
APOBEC4	YC-6-IFNb	0
APOBEC4	YC-6-LPS	0
APOBEC4	YC-7-Basal	0
APOBEC4	YC-7-IFNb	0
APOBEC4	YC-7-LPS	0
APOBEC4	YC-8-Basal	0
APOBEC4	YC-8-IFNb	0
APOBEC4	YC-8-LPS	0
APOBEC4	YC-9-Basal	0
APOBEC4	YC-9-IFNb	0
APOBEC4	YC-9-LPS	0
APOBEC3AP1	AD-1-Basal	0
APOBEC3AP1	AD-1-IFNb	0
APOBEC3AP1	AD-1-LPS	0
APOBEC3AP1	AD-10-Basal	0
APOBEC3AP1	AD-10-IFNb	0
APOBEC3AP1	AD-10-LPS	0
APOBEC3AP1	AD-11-Basal	0
APOBEC3AP1	AD-11-IFNb	0
APOBEC3AP1	AD-11-LPS	0
APOBEC3AP1	AD-2-Basal	0
APOBEC3AP1	AD-2-IFNb	0
APOBEC3AP1	AD-2-LPS	0
APOBEC3AP1	AD-3-Basal	0
APOBEC3AP1	AD-3-IFNb	0
APOBEC3AP1	AD-3-LPS	0
APOBEC3AP1	AD-4-Basal	0
APOBEC3AP1	AD-4-IFNb	0
APOBEC3AP1	AD-4-LPS	0
APOBEC3AP1	AD-5-Basal	0
APOBEC3AP1	AD-5-IFNb	0
APOBEC3AP1	AD-5-LPS	0
APOBEC3AP1	AD-6-Basal	0
APOBEC3AP1	AD-6-IFNb	0
APOBEC3AP1	AD-6-LPS	0
APOBEC3AP1	AD-7-Basal	0
APOBEC3AP1	AD-7-IFNb	0
APOBEC3AP1	AD-7-LPS	0
APOBEC3AP1	AD-8-Basal	0
APOBEC3AP1	AD-8-IFNb	0
APOBEC3AP1	AD-8-LPS	0
APOBEC3AP1	AD-9-Basal	0
APOBEC3AP1	AD-9-IFNb	0
APOBEC3AP1	AD-9-LPS	0
APOBEC3AP1	Control-1-Basal	0
APOBEC3AP1	Control-1-IFNb	0
APOBEC3AP1	Control-1-LPS	0
APOBEC3AP1	Control-10-Basal	0
APOBEC3AP1	Control-10-IFNb	0
APOBEC3AP1	Control-10-LPS	0
APOBEC3AP1	Control-11-Basal	0
APOBEC3AP1	Control-11-IFNb	0
APOBEC3AP1	Control-11-LPS	0
APOBEC3AP1	Control-2-Basal	0
APOBEC3AP1	Control-2-IFNb	0
APOBEC3AP1	Control-2-LPS	0
APOBEC3AP1	Control-3-Basal	0
APOBEC3AP1	Control-3-IFNb	0
APOBEC3AP1	Control-3-LPS	0
APOBEC3AP1	Control-4-Basal	0
APOBEC3AP1	Control-4-IFNb	0
APOBEC3AP1	Control-4-LPS	0
APOBEC3AP1	Control-5-Basal	0
APOBEC3AP1	Control-5-IFNb	0
APOBEC3AP1	Control-5-LPS	0
APOBEC3AP1	Control-6-Basal	0
APOBEC3AP1	Control-6-IFNb	0
APOBEC3AP1	Control-6-LPS	0
APOBEC3AP1	Control-7-Basal	0
APOBEC3AP1	Control-7-IFNb	0
APOBEC3AP1	Control-7-LPS	0
APOBEC3AP1	Control-8-Basal	0
APOBEC3AP1	Control-8-IFNb	0
APOBEC3AP1	Control-8-LPS	0
APOBEC3AP1	Control-9-Basal	0
APOBEC3AP1	Control-9-IFNb	0
APOBEC3AP1	Control-9-LPS	0
APOBEC3AP1	MCI-1-Basal	0
APOBEC3AP1	MCI-1-IFNb	0
APOBEC3AP1	MCI-1-LPS	0
APOBEC3AP1	MCI-10-Basal	0
APOBEC3AP1	MCI-10-IFNb	0
APOBEC3AP1	MCI-10-LPS	0
APOBEC3AP1	MCI-11-Basal	0
APOBEC3AP1	MCI-11-IFNb	0
APOBEC3AP1	MCI-11-LPS	0
APOBEC3AP1	MCI-2-Basal	0
APOBEC3AP1	MCI-2-IFNb	0
APOBEC3AP1	MCI-2-LPS	0
APOBEC3AP1	MCI-3-Basal	0
APOBEC3AP1	MCI-3-IFNb	0
APOBEC3AP1	MCI-3-LPS	0
APOBEC3AP1	MCI-4-Basal	0
APOBEC3AP1	MCI-4-IFNb	0
APOBEC3AP1	MCI-4-LPS	0
APOBEC3AP1	MCI-5-Basal	0
APOBEC3AP1	MCI-5-IFNb	0
APOBEC3AP1	MCI-5-LPS	0
APOBEC3AP1	MCI-6-Basal	0
APOBEC3AP1	MCI-6-IFNb	0
APOBEC3AP1	MCI-6-LPS	0
APOBEC3AP1	MCI-7-Basal	0
APOBEC3AP1	MCI-7-IFNb	0
APOBEC3AP1	MCI-7-LPS	0
APOBEC3AP1	MCI-8-Basal	0
APOBEC3AP1	MCI-8-IFNb	0
APOBEC3AP1	MCI-8-LPS	0
APOBEC3AP1	MCI-9-Basal	0
APOBEC3AP1	MCI-9-IFNb	0
APOBEC3AP1	MCI-9-LPS	0
APOBEC3AP1	PD-1-Basal	0
APOBEC3AP1	PD-1-IFNb	0
APOBEC3AP1	PD-1-LPS	0
APOBEC3AP1	PD-10-Basal	0
APOBEC3AP1	PD-10-IFNb	0
APOBEC3AP1	PD-10-LPS	0
APOBEC3AP1	PD-11-Basal	0
APOBEC3AP1	PD-11-IFNb	0
APOBEC3AP1	PD-11-LPS	0
APOBEC3AP1	PD-2-Basal	0
APOBEC3AP1	PD-2-IFNb	0
APOBEC3AP1	PD-2-LPS	0
APOBEC3AP1	PD-3-Basal	0
APOBEC3AP1	PD-3-IFNb	0
APOBEC3AP1	PD-3-LPS	0
APOBEC3AP1	PD-4-Basal	0
APOBEC3AP1	PD-4-IFNb	0
APOBEC3AP1	PD-4-LPS	0
APOBEC3AP1	PD-5-Basal	0
APOBEC3AP1	PD-5-IFNb	0
APOBEC3AP1	PD-5-LPS	0
APOBEC3AP1	PD-6-Basal	0
APOBEC3AP1	PD-6-IFNb	0
APOBEC3AP1	PD-6-LPS	0
APOBEC3AP1	PD-7-Basal	0
APOBEC3AP1	PD-7-IFNb	0
APOBEC3AP1	PD-7-LPS	0
APOBEC3AP1	PD-8-Basal	0
APOBEC3AP1	PD-8-IFNb	0
APOBEC3AP1	PD-8-LPS	0
APOBEC3AP1	PD-9-Basal	0
APOBEC3AP1	PD-9-IFNb	0
APOBEC3AP1	PD-9-LPS	0
APOBEC3AP1	YC-1-Basal	0
APOBEC3AP1	YC-1-IFNb	0
APOBEC3AP1	YC-1-LPS	0
APOBEC3AP1	YC-10-Basal	0
APOBEC3AP1	YC-10-IFNb	0
APOBEC3AP1	YC-10-LPS	0
APOBEC3AP1	YC-11-Basal	0
APOBEC3AP1	YC-11-IFNb	0
APOBEC3AP1	YC-11-LPS	0
APOBEC3AP1	YC-2-Basal	0
APOBEC3AP1	YC-2-IFNb	0
APOBEC3AP1	YC-2-LPS	0
APOBEC3AP1	YC-3-Basal	0
APOBEC3AP1	YC-3-IFNb	0
APOBEC3AP1	YC-3-LPS	0
APOBEC3AP1	YC-4-Basal	0
APOBEC3AP1	YC-4-IFNb	0
APOBEC3AP1	YC-4-LPS	0
APOBEC3AP1	YC-5-Basal	0
APOBEC3AP1	YC-5-IFNb	0
APOBEC3AP1	YC-5-LPS	0
APOBEC3AP1	YC-6-Basal	0
APOBEC3AP1	YC-6-IFNb	0
APOBEC3AP1	YC-6-LPS	0
APOBEC3AP1	YC-7-Basal	0
APOBEC3AP1	YC-7-IFNb	0
APOBEC3AP1	YC-7-LPS	0
APOBEC3AP1	YC-8-Basal	0
APOBEC3AP1	YC-8-IFNb	0
APOBEC3AP1	YC-8-LPS	0
APOBEC3AP1	YC-9-Basal	0
APOBEC3AP1	YC-9-IFNb	0
APOBEC3AP1	YC-9-LPS	0
APOBEC2	AD-1-Basal	0.43
APOBEC2	AD-1-IFNb	0.5
APOBEC2	AD-1-LPS	1.55
APOBEC2	AD-10-Basal	0
APOBEC2	AD-10-IFNb	0.71
APOBEC2	AD-10-LPS	1.25
APOBEC2	AD-11-Basal	0.55
APOBEC2	AD-11-IFNb	0
APOBEC2	AD-11-LPS	0.17
APOBEC2	AD-2-Basal	0.89
APOBEC2	AD-2-IFNb	0
APOBEC2	AD-2-LPS	0
APOBEC2	AD-3-Basal	0.28
APOBEC2	AD-3-IFNb	0.14
APOBEC2	AD-3-LPS	0.54
APOBEC2	AD-4-Basal	0.21
APOBEC2	AD-4-IFNb	0
APOBEC2	AD-4-LPS	0
APOBEC2	AD-5-Basal	0.16
APOBEC2	AD-5-IFNb	0
APOBEC2	AD-5-LPS	0.18
APOBEC2	AD-6-Basal	0.43
APOBEC2	AD-6-IFNb	0
APOBEC2	AD-6-LPS	0.4
APOBEC2	AD-7-Basal	0.46
APOBEC2	AD-7-IFNb	0.36
APOBEC2	AD-7-LPS	0.36
APOBEC2	AD-8-Basal	1.84
APOBEC2	AD-8-IFNb	0.12
APOBEC2	AD-8-LPS	0
APOBEC2	AD-9-Basal	0.84
APOBEC2	AD-9-IFNb	0.56
APOBEC2	AD-9-LPS	0
APOBEC2	Control-1-Basal	1.07
APOBEC2	Control-1-IFNb	0.61
APOBEC2	Control-1-LPS	1.3
APOBEC2	Control-10-Basal	0.68
APOBEC2	Control-10-IFNb	0.55
APOBEC2	Control-10-LPS	0.81
APOBEC2	Control-11-Basal	0.83
APOBEC2	Control-11-IFNb	0.3
APOBEC2	Control-11-LPS	0
APOBEC2	Control-2-Basal	0.78
APOBEC2	Control-2-IFNb	0.55
APOBEC2	Control-2-LPS	0
APOBEC2	Control-3-Basal	0.88
APOBEC2	Control-3-IFNb	0
APOBEC2	Control-3-LPS	0.16
APOBEC2	Control-4-Basal	0
APOBEC2	Control-4-IFNb	0
APOBEC2	Control-4-LPS	0.27
APOBEC2	Control-5-Basal	0.48
APOBEC2	Control-5-IFNb	0.15
APOBEC2	Control-5-LPS	0
APOBEC2	Control-6-Basal	0.7
APOBEC2	Control-6-IFNb	0.21
APOBEC2	Control-6-LPS	0
APOBEC2	Control-7-Basal	0.26
APOBEC2	Control-7-IFNb	0.52
APOBEC2	Control-7-LPS	0.84
APOBEC2	Control-8-Basal	0.51
APOBEC2	Control-8-IFNb	0
APOBEC2	Control-8-LPS	0.29
APOBEC2	Control-9-Basal	1.08
APOBEC2	Control-9-IFNb	1.65
APOBEC2	Control-9-LPS	1.35
APOBEC2	MCI-1-Basal	1.03
APOBEC2	MCI-1-IFNb	0.41
APOBEC2	MCI-1-LPS	0.65
APOBEC2	MCI-10-Basal	1.16
APOBEC2	MCI-10-IFNb	0.83
APOBEC2	MCI-10-LPS	0.2
APOBEC2	MCI-11-Basal	0.14
APOBEC2	MCI-11-IFNb	0.18
APOBEC2	MCI-11-LPS	0.31
APOBEC2	MCI-2-Basal	0.54
APOBEC2	MCI-2-IFNb	0
APOBEC2	MCI-2-LPS	0.21
APOBEC2	MCI-3-Basal	0
APOBEC2	MCI-3-IFNb	0.19
APOBEC2	MCI-3-LPS	0
APOBEC2	MCI-4-Basal	0.34
APOBEC2	MCI-4-IFNb	0
APOBEC2	MCI-4-LPS	0
APOBEC2	MCI-5-Basal	0.33
APOBEC2	MCI-5-IFNb	0
APOBEC2	MCI-5-LPS	0.34
APOBEC2	MCI-6-Basal	0.21
APOBEC2	MCI-6-IFNb	0.43
APOBEC2	MCI-6-LPS	0.19
APOBEC2	MCI-7-Basal	0.4
APOBEC2	MCI-7-IFNb	0.25
APOBEC2	MCI-7-LPS	0.12
APOBEC2	MCI-8-Basal	0
APOBEC2	MCI-8-IFNb	0.18
APOBEC2	MCI-8-LPS	0.34
APOBEC2	MCI-9-Basal	1.74
APOBEC2	MCI-9-IFNb	0.53
APOBEC2	MCI-9-LPS	1.9
APOBEC2	PD-1-Basal	0.98
APOBEC2	PD-1-IFNb	0.16
APOBEC2	PD-1-LPS	1.05
APOBEC2	PD-10-Basal	0.18
APOBEC2	PD-10-IFNb	0.19
APOBEC2	PD-10-LPS	0.54
APOBEC2	PD-11-Basal	0.19
APOBEC2	PD-11-IFNb	0
APOBEC2	PD-11-LPS	1.04
APOBEC2	PD-2-Basal	1.19
APOBEC2	PD-2-IFNb	0.4
APOBEC2	PD-2-LPS	0.21
APOBEC2	PD-3-Basal	0.3
APOBEC2	PD-3-IFNb	0
APOBEC2	PD-3-LPS	0.38
APOBEC2	PD-4-Basal	0.31
APOBEC2	PD-4-IFNb	0
APOBEC2	PD-4-LPS	0.15
APOBEC2	PD-5-Basal	0.34
APOBEC2	PD-5-IFNb	0
APOBEC2	PD-5-LPS	0.34
APOBEC2	PD-6-Basal	0.58
APOBEC2	PD-6-IFNb	0
APOBEC2	PD-6-LPS	0.71
APOBEC2	PD-7-Basal	0.53
APOBEC2	PD-7-IFNb	0.44
APOBEC2	PD-7-LPS	0.59
APOBEC2	PD-8-Basal	0.92
APOBEC2	PD-8-IFNb	0.47
APOBEC2	PD-8-LPS	0.13
APOBEC2	PD-9-Basal	2.33
APOBEC2	PD-9-IFNb	0.52
APOBEC2	PD-9-LPS	0.31
APOBEC2	YC-1-Basal	1.39
APOBEC2	YC-1-IFNb	0.4
APOBEC2	YC-1-LPS	1.6
APOBEC2	YC-10-Basal	1.97
APOBEC2	YC-10-IFNb	0.18
APOBEC2	YC-10-LPS	0.2
APOBEC2	YC-11-Basal	0.15
APOBEC2	YC-11-IFNb	0.53
APOBEC2	YC-11-LPS	0.5
APOBEC2	YC-2-Basal	0.16
APOBEC2	YC-2-IFNb	0
APOBEC2	YC-2-LPS	0
APOBEC2	YC-3-Basal	0
APOBEC2	YC-3-IFNb	0.14
APOBEC2	YC-3-LPS	0
APOBEC2	YC-4-Basal	0.48
APOBEC2	YC-4-IFNb	0.13
APOBEC2	YC-4-LPS	0.41
APOBEC2	YC-5-Basal	0.38
APOBEC2	YC-5-IFNb	0
APOBEC2	YC-5-LPS	0
APOBEC2	YC-6-Basal	0
APOBEC2	YC-6-IFNb	0.14
APOBEC2	YC-6-LPS	0
APOBEC2	YC-7-Basal	0.53
APOBEC2	YC-7-IFNb	0
APOBEC2	YC-7-LPS	0.79
APOBEC2	YC-8-Basal	0.37
APOBEC2	YC-8-IFNb	0.37
APOBEC2	YC-8-LPS	0
APOBEC2	YC-9-Basal	1.88
APOBEC2	YC-9-IFNb	0.37
APOBEC2	YC-9-LPS	0.33
ADARB2-AS1	AD-1-Basal	0
ADARB2-AS1	AD-1-IFNb	0
ADARB2-AS1	AD-1-LPS	0
ADARB2-AS1	AD-10-Basal	0
ADARB2-AS1	AD-10-IFNb	0
ADARB2-AS1	AD-10-LPS	0
ADARB2-AS1	AD-11-Basal	0
ADARB2-AS1	AD-11-IFNb	0
ADARB2-AS1	AD-11-LPS	0
ADARB2-AS1	AD-2-Basal	0
ADARB2-AS1	AD-2-IFNb	0
ADARB2-AS1	AD-2-LPS	0
ADARB2-AS1	AD-3-Basal	0
ADARB2-AS1	AD-3-IFNb	0
ADARB2-AS1	AD-3-LPS	0
ADARB2-AS1	AD-4-Basal	0
ADARB2-AS1	AD-4-IFNb	0
ADARB2-AS1	AD-4-LPS	0
ADARB2-AS1	AD-5-Basal	0
ADARB2-AS1	AD-5-IFNb	0
ADARB2-AS1	AD-5-LPS	0
ADARB2-AS1	AD-6-Basal	0
ADARB2-AS1	AD-6-IFNb	0
ADARB2-AS1	AD-6-LPS	0
ADARB2-AS1	AD-7-Basal	0
ADARB2-AS1	AD-7-IFNb	0
ADARB2-AS1	AD-7-LPS	0
ADARB2-AS1	AD-8-Basal	0
ADARB2-AS1	AD-8-IFNb	0
ADARB2-AS1	AD-8-LPS	0
ADARB2-AS1	AD-9-Basal	0
ADARB2-AS1	AD-9-IFNb	0
ADARB2-AS1	AD-9-LPS	0
ADARB2-AS1	Control-1-Basal	0
ADARB2-AS1	Control-1-IFNb	0
ADARB2-AS1	Control-1-LPS	0
ADARB2-AS1	Control-10-Basal	0
ADARB2-AS1	Control-10-IFNb	0
ADARB2-AS1	Control-10-LPS	0
ADARB2-AS1	Control-11-Basal	0
ADARB2-AS1	Control-11-IFNb	0
ADARB2-AS1	Control-11-LPS	0
ADARB2-AS1	Control-2-Basal	0
ADARB2-AS1	Control-2-IFNb	0
ADARB2-AS1	Control-2-LPS	0
ADARB2-AS1	Control-3-Basal	0
